"预约单号",客户姓名,客户手机号,客户来源,预约单状态,操作备注,预约门店,预约到店时间,下单时间,服务名称,车牌号,车型,备注
RS20210905190345434JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-09-09 下午,2021-09-05 07:03:45,念-洗车,,,
RS20210827112355987JC,18952632080,18952632080,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-08-28 下午,2021-08-27 11:23:56,不限定车牌服务00,浙AJ510B,东南牌DN7151修改MA,
RS20210826143150515JC,18952632080,18952632080,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-08-27 上午,2021-08-26 02:31:51,不限定车牌服务00,粤YMR303,海马牌HMC7165G4H0,
RS20210826145311223JC,18952632080,18952632080,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-08-27 上午,2021-08-26 02:53:11,不限定车牌服务00,浙JHV677,起亚牌YQZ7162A,
RS20210812110252368JC,18952632073,18952632073,0313客户公司,已完成,,支持用户预约门店1,2021-08-14 下午,2021-08-12 11:02:52,不限定车牌服务00,,,
RS20210812110025250JC,18952632074,18952632074,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-08-13 上午,2021-08-12 11:00:25,不限定车牌服务00,,,
RS20210726104945552JC,18952632047,18952632047,,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-30 下午,2021-07-26 10:49:46,不限定车牌服务00,,,
RS20210727163914502JC,18952632049,18952632049,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-30 上午,2021-07-27 04:39:15,不限定车牌服务00,,,
RS20210727162507293JC,18952632049,18952632049,0313客户公司,已关闭,,支持用户预约门店1,2021-07-29 上午,2021-07-27 04:25:07,不限定车牌服务00,,,
RS20210727194852685JC,18952632052,18952632052,0313客户公司,已完成,,支持用户预约门店1,2021-07-29 上午,2021-07-27 07:48:53,不限定车牌服务00,,,
RS20210727200147819JC,18952632052,18952632052,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-29 上午,2021-07-27 08:01:48,不限定车牌服务00,,,
